match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,12.1,Australia,England,DA Warner,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,12.2,Australia,England,DA Warner,M Labuschagne,CR Woakes,2,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,12.3,Australia,England,DA Warner,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,12.4,Australia,England,DA Warner,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,12.5,Australia,England,DA Warner,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,12.6,Australia,England,DA Warner,M Labuschagne,CR Woakes,1,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,13.1,Australia,England,DA Warner,M Labuschagne,MA Wood,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,13.2,Australia,England,DA Warner,M Labuschagne,MA Wood,2,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,13.3,Australia,England,DA Warner,M Labuschagne,MA Wood,1,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,13.4,Australia,England,M Labuschagne,DA Warner,MA Wood,4,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,13.5,Australia,England,M Labuschagne,DA Warner,MA Wood,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,13.6,Australia,England,M Labuschagne,DA Warner,MA Wood,4,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,14.1,Australia,England,DA Warner,M Labuschagne,CR Woakes,0,0,,,,,,caught,DA Warner,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,14.2,Australia,England,SPD Smith,M Labuschagne,CR Woakes,4,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,14.3,Australia,England,SPD Smith,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,14.4,Australia,England,SPD Smith,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,14.5,Australia,England,SPD Smith,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,14.6,Australia,England,SPD Smith,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,15.1,Australia,England,M Labuschagne,SPD Smith,MA Wood,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,15.2,Australia,England,M Labuschagne,SPD Smith,MA Wood,1,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,15.3,Australia,England,SPD Smith,M Labuschagne,MA Wood,1,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,15.4,Australia,England,M Labuschagne,SPD Smith,MA Wood,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,15.5,Australia,England,M Labuschagne,SPD Smith,MA Wood,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,15.6,Australia,England,M Labuschagne,SPD Smith,MA Wood,1,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,16.1,Australia,England,M Labuschagne,SPD Smith,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,16.2,Australia,England,M Labuschagne,SPD Smith,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,16.3,Australia,England,M Labuschagne,SPD Smith,CR Woakes,1,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,16.4,Australia,England,SPD Smith,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,16.5,Australia,England,SPD Smith,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,16.6,Australia,England,SPD Smith,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,17.1,Australia,England,M Labuschagne,SPD Smith,JM Anderson,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,17.2,Australia,England,M Labuschagne,SPD Smith,JM Anderson,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,17.3,Australia,England,M Labuschagne,SPD Smith,JM Anderson,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,17.4,Australia,England,M Labuschagne,SPD Smith,JM Anderson,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,17.5,Australia,England,M Labuschagne,SPD Smith,JM Anderson,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,17.6,Australia,England,M Labuschagne,SPD Smith,JM Anderson,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,18.1,Australia,England,SPD Smith,M Labuschagne,SCJ Broad,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,18.2,Australia,England,SPD Smith,M Labuschagne,SCJ Broad,4,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,18.3,Australia,England,SPD Smith,M Labuschagne,SCJ Broad,1,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,18.4,Australia,England,M Labuschagne,SPD Smith,SCJ Broad,4,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,18.5,Australia,England,M Labuschagne,SPD Smith,SCJ Broad,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,18.6,Australia,England,M Labuschagne,SPD Smith,SCJ Broad,0,0,,,,,,,,,
